ID,decision,interview_inform_ratio,interview_assert_ratio,interview_tell_ratio,interview_remark_ratio,interview_think_ratio,interview_guess_ratio,interview_blame_ratio,interview_praise_ratio,interview_appreciation_ratio,interview_recommend_ratio,interview_suggest_ratio,interview_hope_ratio,interview_anger_calmdown_ratio,interview_astonishment_ratio,interview_love_fascinate_ratio,interview_hate_disappoint_ratio,interview_fear_ratio,interview_offense_ratio,interview_sadness_joy_ratio,interview_bore_entertain_ratio,interview_attitudinal_positive_ratio,interview_attitudinal_neutral_ratio,interview_attitudinal_negative_ratio
jasojo159,reject,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011780104712041885,0.002617801047120419,0.0013089005235602095
annma759,select,0.0,0.0,0.0012578616352201257,0.0,0.0025157232704402514,0.0,0.0,0.0,0.0025157232704402514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005031446540880503,0.0012578616352201257,0.0012578616352201257
patrmc729,reject,0.0,0.0,0.0,0.0,0.0011160714285714285,0.0,0.0,0.0,0.0033482142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0
patrgr422,select,0.001885014137606032,0.0,0.0,0.0,0.001885014137606032,0.0,0.0,0.0,0.003770028275212064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007540056550424128,0.002827521206409048,0.0
amangr696,reject,0.0013623978201634877,0.0,0.0,0.0,0.0027247956403269754,0.0,0.0,0.0,0.005449591280653951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008174386920980926,0.0013623978201634877,0.0
joseha394,reject,0.0,0.0,0.0,0.0,0.008729388942774006,0.0,0.0,0.0,0.0009699321047526673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016488845780795344,0.002909796314258002,0.0
rachne348,reject,0.001001001001001001,0.0,0.0,0.002002002002002002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006006006006006006,0.002002002002002002,0.0
jessha294,reject,0.0,0.0,0.0010214504596527069,0.0,0.0,0.0,0.0,0.0,0.0030643513789581204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008171603677221655,0.0020429009193054137,0.0
jonapo972,select,0.0,0.0,0.0,0.0,0.005808325266214908,0.0,0.0,0.0,0.002904162633107454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006776379477250726,0.000968054211035818,0.0
zachwa503,select,0.0,0.0,0.0,0.0,0.006586169045005488,0.0,0.0,0.0,0.0021953896816684962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008781558726673985,0.0021953896816684962,0.0
chriwo479,select,0.0014492753623188406,0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.002898550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010144927536231883,0.004347826086956522,0.0
krispa111,reject,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,0.0
